26789,state:6,Time:13:42:47,Lat:35.55490833,Lng:139.65565667,ax: -0.11,ay:-0.3688888888888889,az:0.7277777777777777,q:162.75,rV:    70,lV:    50,Camera:0
26912,state:6,Time:13:42:47,Lat:35.55490833,Lng:139.65565667,ax:-0.05333333333333334,ay:-0.6622222222222223,az:0.7233333333333334,q:158.25,rV:    70,lV:    50,Camera:0
27003,state:6,Time:13:42:47,Lat:35.55490833,Lng:139.65565667,ax:-1.1066666666666667,ay:  0.24,az:1.0277777777777777,q:153.25,rV:    70,lV:    50,Camera:0
27085,state:6,Time:13:42:47,Lat:35.55490833,Lng:139.65565667,ax:-0.4288888888888889,ay:0.5711111111111111,az:0.7277777777777777,q:150.3125,rV:    70,lV:    50,Camera:0
27129,state:6,Time:13:42:47,Lat:35.55490833,Lng:139.65565667,ax:-0.4866666666666667,ay:-0.36444444444444446,az:0.9366666666666666,q:148.625,rV:    70,lV:    50,Camera:0
27138,state:6,Time:13:42:47,Lat:35.55490833,Lng:139.65565667,ax:-1.0333333333333334,ay:-0.07111111111111111,az:1.0033333333333334,q:148.0625,rV:    70,lV:    50,Camera:0
27242,state:6,Time:13:42:47,Lat:35.55490833,Lng:139.65565667,ax:0.5644444444444444,ay:-0.058888888888888886,az:0.5855555555555556,q:143.8125,rV:    70,lV:    50,Camera:0
27251,state:6,Time:13:42:47,Lat:35.55490833,Lng:139.65565667,ax:0.5588888888888889,ay:-0.7177777777777777,az:0.5788888888888889,q:143.8125,rV:    70,lV:    50,Camera:0
27582,state:6,Time:13:42:48,Lat:35.55490833,Lng:139.65565667,ax:0.5544444444444444,ay:-0.7077777777777777,az:0.4588888888888889,q: 134.5,rV:    70,lV:    50,Camera:0
27622,state:6,Time:13:42:48,Lat:35.55490833,Lng:139.65565667,ax:0.11333333333333333,ay:0.6633333333333333,az:0.6255555555555555,q:133.25,rV:    70,lV:    50,Camera:0
27714,state:6,Time:13:42:48,Lat:35.55490833,Lng:139.65565667,ax:  0.67,ay:-0.29555555555555557,az:0.43222222222222223,q:129.6875,rV:    70,lV:    50,Camera:0
27762,state:6,Time:13:42:48,Lat:35.55490833,Lng:139.65565667,ax:-0.04666666666666667,ay:-0.16777777777777778,az:0.7855555555555556,q: 128.0,rV:    70,lV:    50,Camera:0
27882,state:6,Time:13:42:48,Lat:35.55490833,Lng:139.65565667,ax:-0.8477777777777777,ay:0.6522222222222223,az:1.2355555555555555,q:120.375,rV:    70,lV:    50,Camera:0
27962,state:6,Time:13:42:48,Lat:35.55490833,Lng:139.65565667,ax: -0.48,ay:  0.59,az:0.8244444444444444,q: 116.5,rV:    70,lV:    50,Camera:0
28049,state:6,Time:13:42:48,Lat:35.55490833,Lng:139.65565667,ax:0.7477777777777778,ay:-0.8144444444444444,az:0.6033333333333334,q:113.125,rV:    70,lV:    50,Camera:0
