6183,state:4,Time:13:17:49,Lat:35.55488000,Lng:139.65572167,ax:-0.0033333333333333335,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:captured!
27074,state:6,Time:13:18:10,Lat:35.55490333,Lng:139.65568667,ax:0.03777777777777778,ay:0.0022222222222222222,az:  0.01,q:267.3125,rV:    60,lV:    60,Camera:0
27158,state:6,Time:13:18:10,Lat:35.55490333,Lng:139.65568667,ax:-0.14222222222222222,ay:0.44333333333333336,az:0.09333333333333334,q:266.5625,rV:    60,lV:    60,Camera:0
27262,state:6,Time:13:18:10,Lat:35.55490333,Lng:139.65568667,ax:0.08555555555555555,ay:0.6188888888888889,az:-0.1388888888888889,q:266.875,rV:    60,lV:    60,Camera:0
27272,state:6,Time:13:18:10,Lat:35.55490333,Lng:139.65568667,ax:-0.12555555555555556,ay:  0.51,az:-0.12222222222222222,q:266.9375,rV:    70,lV:    50,Camera:0
27567,state:6,Time:13:18:11,Lat:35.55491000,Lng:139.65568333,ax:  0.84,ay:-0.2677777777777778,az:0.5733333333333334,q:258.0625,rV:    70,lV:    50,Camera:0
27678,state:6,Time:13:18:11,Lat:35.55491000,Lng:139.65568333,ax:-0.3466666666666667,ay:0.6133333333333333,az:0.5944444444444444,q:254.3125,rV:    70,lV:    50,Camera:0
27720,state:6,Time:13:18:11,Lat:35.55491000,Lng:139.65568333,ax:-1.1555555555555554,ay:-0.7322222222222222,az:0.7555555555555555,q:252.6875,rV:    70,lV:    50,Camera:0
27810,state:6,Time:13:18:11,Lat:35.55491000,Lng:139.65568333,ax:-1.3322222222222222,ay:0.07111111111111111,az:0.37333333333333335,q:249.9375,rV:    70,lV:    50,Camera:0
27854,state:6,Time:13:18:11,Lat:35.55491000,Lng:139.65568333,ax:0.9977777777777778,ay:-0.06111111111111111,az:-0.10333333333333333,q:249.75,rV:    70,lV:    50,Camera:0
27972,state:6,Time:13:18:11,Lat:35.55491000,Lng:139.65568333,ax:0.4088888888888889,ay:-1.9122222222222223,az: -0.28,q:250.25,rV:    70,lV:    50,Camera:0
28052,state:6,Time:13:18:11,Lat:35.55491000,Lng:139.65568333,ax:  0.72,ay:2.9522222222222223,az:0.39666666666666667,q:251.25,rV:    70,lV:    50,Camera:0
